Zone,1,Total
CO2_Price_1,-367.2766480451378,0.0
AnnualSum,1611.3711220129478,1611.3711220129478
t1,0.0,0.0
t2,0.0,0.0
t3,0.0,0.0
t4,0.0,0.0
t5,0.0,0.0
t6,0.0,0.0
t7,0.0,0.0
t8,0.0,0.0
t9,0.0,0.0
t10,0.0,0.0
t11,0.0,0.0
t12,0.0,0.0
t13,0.0,0.0
t14,0.0,0.0
t15,0.0,0.0
t16,0.0,0.0
t17,0.0,0.0
t18,0.0,0.0
t19,0.0,0.0
t20,0.0,0.0
t21,0.0,0.0
t22,0.0,0.0
t23,0.0,0.0
t24,0.0,0.0
t25,0.0,0.0
t26,0.0,0.0
t27,0.0,0.0
t28,0.0,0.0
t29,0.0,0.0
t30,0.0,0.0
t31,0.0,0.0
t32,0.0,0.0
t33,0.0,0.0
t34,0.0,0.0
t35,0.0,0.0
t36,0.0,0.0
t37,0.0,0.0
t38,0.0,0.0
t39,0.0,0.0
t40,0.0,0.0
t41,0.0,0.0
t42,0.0,0.0
t43,0.0,0.0
t44,0.10687765039035485,0.10687765039035485
t45,0.2968823621954301,0.2968823621954301
t46,0.2968823621954301,0.2968823621954301
t47,0.2968823621954301,0.2968823621954301
t48,0.2968823621954301,0.2968823621954301
t49,0.2968823621954301,0.2968823621954301
t50,0.2968823621954301,0.2968823621954301
t51,0.2968823621954301,0.2968823621954301
t52,0.2968823621954301,0.2968823621954301
t53,0.2968823621954301,0.2968823621954301
t54,0.2968823621954301,0.2968823621954301
t55,0.2968823621954301,0.2968823621954301
t56,0.2968823621954301,0.2968823621954301
t57,0.2968823621954301,0.2968823621954301
t58,0.19000471180507528,0.19000471180507528
t59,0.0,0.0
t60,0.0,0.0
t61,0.0,0.0
t62,0.0,0.0
t63,0.0,0.0
t64,0.0,0.0
t65,0.0,0.0
t66,0.0,0.0
t67,0.0,0.0
t68,0.0,0.0
t69,0.0,0.0
t70,0.0,0.0
t71,0.0,0.0
t72,0.0,0.0
t73,0.0,0.0
t74,0.0,0.0
t75,0.0,0.0
t76,0.0,0.0
t77,0.0,0.0
t78,0.0,0.0
t79,0.0,0.0
t80,0.0,0.0
t81,0.0,0.0
t82,0.0,0.0
t83,0.0,0.0
t84,0.0,0.0
t85,0.0,0.0
t86,0.0,0.0
t87,0.0,0.0
t88,0.0,0.0
t89,0.0,0.0
t90,0.0,0.0
t91,0.0,0.0
t92,0.009844846835099475,0.009844846835099475
t93,0.02734679676416521,0.02734679676416521
t94,0.02734679676416521,0.02734679676416521
